entity_id,review_decision,reviewer,reviewed_at,decision_note,session_id,within_session_order,entity_type,display_name,queue_status,review_status,review_batch,review_bucket,source_refs,cleaned_paths,parsed_paths,top_extract_ids,decision_instructions
concept_asn,,,,,review_session_006,1,BGPConcept,ASN,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|context_2026,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_concept_asn_01|extract_concept_asn_02|extract_concept_asn_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
paper_method_bear,,,,,review_session_006,2,PaperMethod,BEAR: BGP Event Analysis and Reporting,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,bear_2025|context_2026,cleaned/papers/bear_2025.md,parsed/papers/bear_2025.json,extract_paper_method_bear_01|extract_paper_method_bear_02|extract_paper_method_bear_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
mechanism_before_after_path_comparison,,,,,review_session_006,3,RoutingMechanism,Before-after AS path comparison,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,bear_2025|context_2026,cleaned/papers/bear_2025.md,parsed/papers/bear_2025.json,extract_mechanism_before_after_path_comparison_01|extract_mechanism_before_after_path_comparison_02|extract_mechanism_before_after_path_comparison_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_bgp,,,,,review_session_006,4,BGPConcept,BGP,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|context_2026,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_concept_bgp_01|extract_concept_bgp_02|extract_concept_bgp_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_bgp_session,,,,,review_session_006,5,BGPConcept,BGP Session,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|ripe_ris_docs|context_2026,cleaned/data_docs/ripe_ris_docs.md|cleaned/standards/rfc4271.md,parsed/data_docs/ripe_ris_docs.json|parsed/standards/rfc4271.json,extract_concept_bgp_session_01|extract_concept_bgp_session_02|extract_concept_bgp_session_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_bgp_speaker,,,,,review_session_006,6,BGPConcept,BGP Speaker,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|context_2026,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_concept_bgp_speaker_01|extract_concept_bgp_speaker_02|extract_concept_bgp_speaker_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_bgp_update,,,,,review_session_006,7,BGPConcept,BGP Update,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|bgpstream_docs|context_2026,cleaned/data_docs/bgpstream_docs.md|cleaned/standards/rfc4271.md,parsed/data_docs/bgpstream_docs.json|parsed/standards/rfc4271.json,extract_concept_bgp_update_01|extract_concept_bgp_update_02|extract_concept_bgp_update_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
paper_method_bgpshield,,,,,review_session_006,8,PaperMethod,BGPShield,blocked_by_llm,pending,02_ready_with_manual_note,ready_with_manual_note,bgpshield_2025|context_2026,cleaned/papers/bgpshield_2025.md,parsed/papers/bgpshield_2025.json,extract_paper_method_bgpshield_01|extract_paper_method_bgpshield_02|extract_paper_method_bgpshield_03,该实体需要语义流程或 LLM；按当前规则跳过并记录。
concept_bgpstream,,,,,review_session_006,9,BGPConcept,BGPStream,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,bgpstream_docs|context_2026,cleaned/data_docs/bgpstream_docs.md,parsed/data_docs/bgpstream_docs.json,extract_concept_bgpstream_01|extract_concept_bgpstream_02|extract_concept_bgpstream_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
datasource_bgpstream,,,,,review_session_006,10,DataSource,BGPStream,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,bgpstream_docs|bear_2025|context_2026,cleaned/data_docs/bgpstream_docs.md|cleaned/papers/bear_2025.md,parsed/data_docs/bgpstream_docs.json|parsed/papers/bear_2025.json,extract_datasource_bgpstream_01|extract_datasource_bgpstream_02|extract_datasource_bgpstream_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
