entity_id,review_decision,reviewer,reviewed_at,decision_note,session_id,within_session_order,entity_type,display_name,queue_status,review_status,review_batch,review_bucket,source_refs,cleaned_paths,parsed_paths,top_extract_ids,decision_instructions
field_bgp_identifier,,,,,review_session_002,1,DataField,bgp_identifier,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,rfc4271,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_field_bgp_identifier_01|extract_field_bgp_identifier_02|extract_field_bgp_identifier_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_bgp_role,,,,,review_session_002,2,DataField,bgp_role,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,rfc9234,cleaned/standards/rfc9234.md,parsed/standards/rfc9234.json,extract_field_bgp_role_01|extract_field_bgp_role_02|extract_field_bgp_role_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
mechanism_bgpsec_path_validation,,,,,review_session_002,3,RoutingMechanism,BGPsec Path Validation,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,rfc8205|rfc6480,cleaned/standards/rfc6480.md|cleaned/standards/rfc8205.md,parsed/standards/rfc6480.json|parsed/standards/rfc8205.json,extract_mechanism_bgpsec_path_validation_01|extract_mechanism_bgpsec_path_validation_02|extract_mechanism_bgpsec_path_validation_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
datasource_caida_asrank,,,,,review_session_002,4,DataSource,CAIDA ASRank,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,caida_asrank_api|caida_as_relationships,cleaned/data_docs/caida_as_relationships.md|cleaned/data_docs/caida_asrank_api.md,parsed/data_docs/caida_as_relationships.json|parsed/data_docs/caida_asrank_api.json,extract_datasource_caida_asrank_01|extract_datasource_caida_asrank_02|extract_datasource_caida_asrank_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_customer_cone_asns,,,,,review_session_002,5,DataField,customer_cone_asns,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,caida_asrank_api|caida_as_relationships,cleaned/data_docs/caida_as_relationships.md|cleaned/data_docs/caida_asrank_api.md,parsed/data_docs/caida_as_relationships.json|parsed/data_docs/caida_asrank_api.json,extract_field_customer_cone_asns_01|extract_field_customer_cone_asns_02|extract_field_customer_cone_asns_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_hold_time,,,,,review_session_002,6,DataField,hold_time,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,rfc4271,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_field_hold_time_01|extract_field_hold_time_02|extract_field_hold_time_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_local_pref,,,,,review_session_002,7,DataField,local_pref,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,rfc4271,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_field_local_pref_01|extract_field_local_pref_02|extract_field_local_pref_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_med,,,,,review_session_002,8,DataField,med,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,rfc4271,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_field_med_01|extract_field_med_02|extract_field_med_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_mrt_file_type,,,,,review_session_002,9,DataField,mrt_file_type,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,ripe_ris_raw_data|routeviews_archive_index,cleaned/data_docs/ripe_ris_raw_data.md|cleaned/data_docs/routeviews_archive_index.md,parsed/data_docs/ripe_ris_raw_data.json|parsed/data_docs/routeviews_archive_index.json,extract_field_mrt_file_type_01|extract_field_mrt_file_type_02|extract_field_mrt_file_type_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_next_hop,,,,,review_session_002,10,DataField,next_hop,ready_to_apply,approved,01_ready_without_manual_note,ready_without_manual_note,rfc4271,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_field_next_hop_01|extract_field_next_hop_02|extract_field_next_hop_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
