entity_id,review_decision,reviewer,reviewed_at,decision_note,session_id,within_session_order,entity_type,display_name,queue_status,review_status,review_batch,review_bucket,source_refs,cleaned_paths,parsed_paths,top_extract_ids,decision_instructions
datasource_ripe_ris,,,,,review_session_010,1,DataSource,RIPE RIS,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,ripe_ris_docs|context_2026,cleaned/data_docs/ripe_ris_docs.md,parsed/data_docs/ripe_ris_docs.json,extract_datasource_ripe_ris_01|extract_datasource_ripe_ris_02|extract_datasource_ripe_ris_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_roa,,,,,review_session_010,2,BGPConcept,ROA,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc6811|context_2026,cleaned/standards/rfc6811.md,parsed/standards/rfc6811.json,extract_concept_roa_01|extract_concept_roa_02|extract_concept_roa_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_roa_status,,,,,review_session_010,3,DataField,roa_status,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc6811|context_2026,cleaned/standards/rfc6811.md,parsed/standards/rfc6811.json,extract_field_roa_status_01|extract_field_roa_status_02|extract_field_roa_status_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_route_collector,,,,,review_session_010,4,BGPConcept,Route Collector,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,routeviews_api_doc|ripe_ris_docs|context_2026,cleaned/data_docs/ripe_ris_docs.md|cleaned/data_docs/routeviews_api_doc.md,parsed/data_docs/ripe_ris_docs.json|parsed/data_docs/routeviews_api_doc.json,extract_concept_route_collector_01|extract_concept_route_collector_02|extract_concept_route_collector_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
anomaly_route_leak,,,,,review_session_010,5,AnomalyType,Route Leak,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc7908|rfc9234|beam_2024|context_2026,cleaned/papers/beam_2024.md|cleaned/standards/rfc7908.md|cleaned/standards/rfc9234.md,parsed/papers/beam_2024.json|parsed/standards/rfc7908.json|parsed/standards/rfc9234.json,extract_anomaly_route_leak_01|extract_anomaly_route_leak_02|extract_anomaly_route_leak_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
mechanism_route_origin_validation,,,,,review_session_010,6,RoutingMechanism,Route Origin Validation,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc6811|context_2026,cleaned/standards/rfc6811.md,parsed/standards/rfc6811.json,extract_mechanism_route_origin_validation_01|extract_mechanism_route_origin_validation_02|extract_mechanism_route_origin_validation_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_routeviews,,,,,review_session_010,7,BGPConcept,RouteViews,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,routeviews_api_doc|context_2026,cleaned/data_docs/routeviews_api_doc.md,parsed/data_docs/routeviews_api_doc.json,extract_concept_routeviews_01|extract_concept_routeviews_02|extract_concept_routeviews_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
datasource_routeviews,,,,,review_session_010,8,DataSource,RouteViews,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,routeviews_api_doc|context_2026,cleaned/data_docs/routeviews_api_doc.md,parsed/data_docs/routeviews_api_doc.json,extract_datasource_routeviews_01|extract_datasource_routeviews_02|extract_datasource_routeviews_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_rov,,,,,review_session_010,9,BGPConcept,ROV,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc6811|context_2026,cleaned/standards/rfc6811.md,parsed/standards/rfc6811.json,extract_concept_rov_01|extract_concept_rov_02|extract_concept_rov_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_rpki,,,,,review_session_010,10,BGPConcept,RPKI,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc6811|context_2026,cleaned/standards/rfc6811.md,parsed/standards/rfc6811.json,extract_concept_rpki_01|extract_concept_rpki_02|extract_concept_rpki_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
