entity_id,review_decision,reviewer,reviewed_at,decision_note,session_id,within_session_order,entity_type,display_name,queue_status,review_status,review_batch,review_bucket,source_refs,cleaned_paths,parsed_paths,top_extract_ids,decision_instructions
anomaly_path_manipulation,,,,,review_session_009,1,AnomalyType,Path Manipulation,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|bgpshield_2025|context_2026,cleaned/papers/bgpshield_2025.md|cleaned/standards/rfc4271.md,parsed/papers/bgpshield_2025.json|parsed/standards/rfc4271.json,extract_anomaly_path_manipulation_01|extract_anomaly_path_manipulation_02|extract_anomaly_path_manipulation_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
mechanism_path_vector,,,,,review_session_009,2,RoutingMechanism,Path-vector routing,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|context_2026,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_mechanism_path_vector_01|extract_mechanism_path_vector_02|extract_mechanism_path_vector_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_peer,,,,,review_session_009,3,BGPConcept,Peer,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,routeviews_api_doc|ripe_ris_docs|context_2026,cleaned/data_docs/ripe_ris_docs.md|cleaned/data_docs/routeviews_api_doc.md,parsed/data_docs/ripe_ris_docs.json|parsed/data_docs/routeviews_api_doc.json,extract_concept_peer_01|extract_concept_peer_02|extract_concept_peer_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_peer_asn,,,,,review_session_009,4,DataField,peer_asn,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,routeviews_api_doc|ripe_ris_docs|context_2026,cleaned/data_docs/ripe_ris_docs.md|cleaned/data_docs/routeviews_api_doc.md,parsed/data_docs/ripe_ris_docs.json|parsed/data_docs/routeviews_api_doc.json,extract_field_peer_asn_01|extract_field_peer_asn_02|extract_field_peer_asn_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_prefix,,,,,review_session_009,5,BGPConcept,Prefix,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|context_2026,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_concept_prefix_01|extract_concept_prefix_02|extract_concept_prefix_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_prefix,,,,,review_session_009,6,DataField,prefix,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|rfc6811|context_2026,cleaned/standards/rfc4271.md|cleaned/standards/rfc6811.md,parsed/standards/rfc4271.json|parsed/standards/rfc6811.json,extract_field_prefix_01|extract_field_prefix_02|extract_field_prefix_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
anomaly_prefix_hijack,,,,,review_session_009,7,AnomalyType,Prefix Hijack,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|rfc6811|bear_2025|context_2026,cleaned/papers/bear_2025.md|cleaned/standards/rfc4271.md|cleaned/standards/rfc6811.md,parsed/papers/bear_2025.json|parsed/standards/rfc4271.json|parsed/standards/rfc6811.json,extract_anomaly_prefix_hijack_01|extract_anomaly_prefix_hijack_02|extract_anomaly_prefix_hijack_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
anomaly_prefix_outage,,,,,review_session_009,8,AnomalyType,Prefix Outage,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|context_2026,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_anomaly_prefix_outage_01|extract_anomaly_prefix_outage_02|extract_anomaly_prefix_outage_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_rib,,,,,review_session_009,9,BGPConcept,RIB,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|routeviews_api_doc|bgpstream_docs|context_2026,cleaned/data_docs/bgpstream_docs.md|cleaned/data_docs/routeviews_api_doc.md|cleaned/standards/rfc4271.md,parsed/data_docs/bgpstream_docs.json|parsed/data_docs/routeviews_api_doc.json|parsed/standards/rfc4271.json,extract_concept_rib_01|extract_concept_rib_02|extract_concept_rib_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_ripe_ris,,,,,review_session_009,10,BGPConcept,RIPE RIS,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,ripe_ris_docs|context_2026,cleaned/data_docs/ripe_ris_docs.md,parsed/data_docs/ripe_ris_docs.json,extract_concept_ripe_ris_01|extract_concept_ripe_ris_02|extract_concept_ripe_ris_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
