queue_id,entity_id,entity_type,name,review_status,source_refs,source_ref_count,source_processing_statuses,blocked_source_refs,suggested_action,generated_by
review_case_celerbridge_bgp_hijack,case_celerbridge_bgp_hijack,Case,CelerBridge BGP Hijack,pending,bgpshield_2025|context_2026,2,bgpshield_2025:complete_deterministic|context_2026:manual_note,,human_review_ready,scripts/build_entity_review_queue.py
review_case_facebook_2021_outage,case_facebook_2021_outage,Case,Facebook 2021 Outage,pending,facebook_outage_cloudflare_2021|facebook_outage_meta_2021|context_2026,3,facebook_outage_cloudflare_2021:complete_deterministic|facebook_outage_meta_2021:complete_deterministic|context_2026:manual_note,,human_review_ready,scripts/build_entity_review_queue.py
review_case_indosat_route_leak,case_indosat_route_leak,Case,Indosat Route Leak,pending,indosat_route_leak_2014|context_2026,2,indosat_route_leak_2014:complete_deterministic|context_2026:manual_note,,human_review_ready,scripts/build_entity_review_queue.py
review_case_pakistan_youtube_2008,case_pakistan_youtube_2008,Case,Pakistan Telecom / YouTube Hijack,pending,youtube_hijack_google_2008|context_2026,2,youtube_hijack_google_2008:complete_deterministic|context_2026:manual_note,,human_review_ready,scripts/build_entity_review_queue.py
review_paper_method_bgpshield,paper_method_bgpshield,PaperMethod,BGPShield,pending,bgpshield_2025|context_2026,2,bgpshield_2025:complete_deterministic|context_2026:manual_note,,human_review_ready,scripts/build_entity_review_queue.py
