evidence_id,entity_id,entity_type,entity_review_status,source_id,source_type,source_status,source_path,parsed_path,cleaned_path,chunk_count,chunk_sample_ids,case_observation_count,generated_by
anomaly_path_manipulation__rfc4271,anomaly_path_manipulation,AnomalyType,approved,rfc4271,standard,complete_deterministic,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,129,rfc4271_s009_3_001|rfc4271_s005_1_001|rfc4271_s009_3_002|rfc4271_s019_2_001|rfc4271_s021_2_001|rfc4271_s024_6_001|rfc4271_s029_5_1_2_001|rfc4271_s032_5_1_5_001|rfc4271_s048_8_1_2_001|rfc4271_s065_9_1_3_001|rfc4271_s066_9_1_4_001|rfc4271_s073_9_2_2_2_003|rfc4271_s081_6_003|rfc4271_s006_1_1_002|rfc4271_s009_3_003|rfc4271_s010_3_1_001|rfc4271_s011_3_2_002|rfc4271_s015_4_3_001|rfc4271_s015_4_3_003|rfc4271_s016_5_001,0,scripts/build_entity_source_evidence.py
anomaly_prefix_hijack__bear_2025,anomaly_prefix_hijack,AnomalyType,approved,bear_2025,paper,complete_deterministic,raw/papers/bear_2025.pdf,parsed/papers/bear_2025.json,cleaned/papers/bear_2025.md,33,bear_2025_s006_page_6_002|bear_2025_s007_page_7_001|bear_2025_s004_page_4_003|bear_2025_s002_page_2_002|bear_2025_s002_page_2_003|bear_2025_s004_page_4_002|bear_2025_s010_page_10_004|bear_2025_s007_page_7_002|bear_2025_s001_page_1_003|bear_2025_s002_page_2_001|bear_2025_s007_page_7_003|bear_2025_s001_page_1_001|bear_2025_s003_page_3_002|bear_2025_s008_page_8_002|bear_2025_s008_page_8_003|bear_2025_s005_page_5_001|bear_2025_s005_page_5_002|bear_2025_s008_page_8_001|bear_2025_s003_page_3_003|bear_2025_s003_page_3_004,0,scripts/build_entity_source_evidence.py
anomaly_prefix_hijack__context_2026,anomaly_prefix_hijack,AnomalyType,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_paper_bear_001|context_2026_route_leak_001|context_2026_datasource_001|context_2026_scope_001|context_2026_as_path_001,0,scripts/build_entity_source_evidence.py
anomaly_prefix_hijack__rfc4271,anomaly_prefix_hijack,AnomalyType,approved,rfc4271,standard,complete_deterministic,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,129,rfc4271_s010_3_1_001|rfc4271_s024_6_001|rfc4271_s081_6_002|rfc4271_s006_1_1_002|rfc4271_s009_3_003|rfc4271_s021_2_001|rfc4271_s026_4_001|rfc4271_s029_5_1_2_001|rfc4271_s030_5_1_3_001|rfc4271_s030_5_1_3_002|rfc4271_s032_5_1_5_001|rfc4271_s033_5_1_6_001|rfc4271_s035_6_001|rfc4271_s039_6_4_001|rfc4271_s048_8_1_2_001|rfc4271_s048_8_1_2_002|rfc4271_s048_8_1_2_003|rfc4271_s049_8_1_3_001|rfc4271_s050_8_1_4_001|rfc4271_s050_8_1_4_002,0,scripts/build_entity_source_evidence.py
anomaly_prefix_hijack__rfc6811,anomaly_prefix_hijack,AnomalyType,approved,rfc6811,standard,complete_deterministic,raw/standards/rfc6811.txt,parsed/standards/rfc6811.json,cleaned/standards/rfc6811.md,15,rfc6811_s001_1_001|rfc6811_s001_1_002|rfc6811_s008_6_001|rfc6811_s001_1_003|rfc6811_s003_2_001|rfc6811_s006_4_001|rfc6811_s007_5_001|rfc6811_s010_8_1_001|rfc6811_s011_8_2_001|rfc6811_s002_1_1_001|rfc6811_s003_2_002|rfc6811_s003_2_003|rfc6811_s004_2_1_001|rfc6811_s005_3_001|rfc6811_s009_7_001,0,scripts/build_entity_source_evidence.py
anomaly_prefix_outage__context_2026,anomaly_prefix_outage,AnomalyType,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_paper_bear_001|context_2026_datasource_001|context_2026_route_leak_001|context_2026_as_path_001|context_2026_scope_001,0,scripts/build_entity_source_evidence.py
anomaly_prefix_outage__rfc4271,anomaly_prefix_outage,AnomalyType,approved,rfc4271,standard,complete_deterministic,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,129,rfc4271_s006_1_1_001|rfc4271_s058_8_2_2_004|rfc4271_s058_8_2_2_007|rfc4271_s058_8_2_2_011|rfc4271_s048_8_1_2_001|rfc4271_s058_8_2_2_010|rfc4271_s058_8_2_2_014|rfc4271_s081_6_002|rfc4271_s009_3_003|rfc4271_s029_5_1_2_001|rfc4271_s048_8_1_2_002|rfc4271_s048_8_1_2_003|rfc4271_s051_8_1_5_001|rfc4271_s058_8_2_2_002|rfc4271_s058_8_2_2_003|rfc4271_s058_8_2_2_005|rfc4271_s058_8_2_2_006|rfc4271_s058_8_2_2_008|rfc4271_s058_8_2_2_009|rfc4271_s058_8_2_2_012,0,scripts/build_entity_source_evidence.py
anomaly_route_leak__beam_2024,anomaly_route_leak,AnomalyType,approved,beam_2024,paper,complete_deterministic,raw/papers/beam_2024.pdf,parsed/papers/beam_2024.json,cleaned/papers/beam_2024.md,62,beam_2024_s009_page_9_003|beam_2024_s013_page_13_001|beam_2024_s002_page_2_003|beam_2024_s003_page_3_003|beam_2024_s011_page_11_003|beam_2024_s009_page_9_001|beam_2024_s014_page_14_002|beam_2024_s015_page_15_001|beam_2024_s004_page_4_002|beam_2024_s009_page_9_002|beam_2024_s010_page_10_003|beam_2024_s003_page_3_001|beam_2024_s004_page_4_001|beam_2024_s010_page_10_002|beam_2024_s013_page_13_002|beam_2024_s014_page_14_001|beam_2024_s015_page_15_002|beam_2024_s003_page_3_002|beam_2024_s007_page_7_004|beam_2024_s008_page_8_002,0,scripts/build_entity_source_evidence.py
anomaly_route_leak__context_2026,anomaly_route_leak,AnomalyType,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_route_leak_001|context_2026_as_path_001|context_2026_paper_bear_001|context_2026_scope_001|context_2026_datasource_001,0,scripts/build_entity_source_evidence.py
anomaly_route_leak__rfc7908,anomaly_route_leak,AnomalyType,approved,rfc7908,standard,complete_deterministic,raw/standards/rfc7908.txt,parsed/standards/rfc7908.json,cleaned/standards/rfc7908.md,15,rfc7908_s005_2_001|rfc7908_s015_6_001|rfc7908_s008_3_2_001|rfc7908_s013_4_001|rfc7908_s007_3_1_001|rfc7908_s004_1_001|rfc7908_s006_3_001|rfc7908_s009_3_3_001|rfc7908_s010_3_4_001|rfc7908_s012_3_6_001|rfc7908_s017_2013_001|rfc7908_s003_6_001|rfc7908_s011_3_5_001|rfc7908_s016_2012_001|rfc7908_s017_2013_002,0,scripts/build_entity_source_evidence.py
anomaly_route_leak__rfc9234,anomaly_route_leak,AnomalyType,approved,rfc9234,standard,complete_deterministic,raw/standards/rfc9234.txt,parsed/standards/rfc9234.json,cleaned/standards/rfc9234.md,19,rfc9234_s002_1_001|rfc9234_s018_8_001|rfc9234_s005_3_1_002|rfc9234_s008_4_2_002|rfc9234_s014_2_001|rfc9234_s019_9_1_001|rfc9234_s005_3_1_001|rfc9234_s008_4_2_001|rfc9234_s016_6_001|rfc9234_s006_4_001|rfc9234_s015_4_001|rfc9234_s002_1_002|rfc9234_s003_2_001|rfc9234_s004_3_001|rfc9234_s007_4_1_001|rfc9234_s009_5_001|rfc9234_s017_7_001|rfc9234_s018_8_002|rfc9234_s021_9_2_001,0,scripts/build_entity_source_evidence.py
anomaly_subprefix_hijack__bear_2025,anomaly_subprefix_hijack,AnomalyType,approved,bear_2025,paper,complete_deterministic,raw/papers/bear_2025.pdf,parsed/papers/bear_2025.json,cleaned/papers/bear_2025.md,33,bear_2025_s004_page_4_003|bear_2025_s002_page_2_002|bear_2025_s002_page_2_003|bear_2025_s004_page_4_002|bear_2025_s003_page_3_003|bear_2025_s006_page_6_001|bear_2025_s006_page_6_002|bear_2025_s007_page_7_002|bear_2025_s001_page_1_001|bear_2025_s002_page_2_001|bear_2025_s007_page_7_001|bear_2025_s008_page_8_002|bear_2025_s007_page_7_003|bear_2025_s008_page_8_001|bear_2025_s001_page_1_003|bear_2025_s003_page_3_004|bear_2025_s005_page_5_003|bear_2025_s008_page_8_003|bear_2025_s009_page_9_001|bear_2025_s005_page_5_001,0,scripts/build_entity_source_evidence.py
anomaly_subprefix_hijack__context_2026,anomaly_subprefix_hijack,AnomalyType,approved,context_2026,manual_note,manual_note,../context.md,,,5,context_2026_paper_bear_001|context_2026_route_leak_001|context_2026_datasource_001|context_2026_scope_001|context_2026_as_path_001,0,scripts/build_entity_source_evidence.py
