artifact_path,artifact_group,extension,size_bytes,line_count,is_binary,sha256,generated_by
parsed/data_docs/ripestat_api_docs.json,parsed,.json,10097,13,False,dbb4fa7d9c71d9c8bd9ec0836e37b7dc1e0ffd58e315cde9698b54d709e19593,scripts/parse_documents.py
parsed/data_docs/routeviews_api_doc.json,parsed,.json,44322,13,False,a55f34f515c92c12442ca36b93bc925a3429f6ce5949fcbf6e2aebabc34bbf47,scripts/parse_documents.py
parsed/data_docs/routeviews_archive_index.json,parsed,.json,8758,13,False,f2c31daabe00da11a4e64daa6e85d331b52d60457106dad305a8b1aef961240e,scripts/parse_documents.py
parsed/papers/ap2vec_2022.json,parsed,.json,2566,13,False,1a26a023f3b0b1b1b1dd9641dbc2e2574aa92f86a3215629e60a8cb59db95f97,scripts/parse_documents.py
parsed/papers/artemis_2018.json,parsed,.json,105396,88,False,0d6261908fc4c46f4804f52e0761b2816c61ace2f8d761ed937e8a3acbe8f36e,scripts/parse_documents.py
parsed/papers/aswatch_2015.json,parsed,.json,14302,13,False,8c7ac723bba75065833388a9ac319deeeffba0602f3dfb38d7967cc0abf574ba,scripts/parse_documents.py
parsed/papers/beam_2024.json,parsed,.json,97820,103,False,3105302ef396e90b08dcf67bbf1fa98a595c3ed5081c6e7ab01d71ad2b74fc66,scripts/parse_documents.py
parsed/papers/bear_2025.json,parsed,.json,53948,58,False,ee9b0b62806d4d501fbb93eb0641533175296289cb124b5f2c29132f9ba8d827,scripts/parse_documents.py
parsed/papers/bgp2vec_2020.json,parsed,.json,34634,43,False,dcba0f99e6837c3bfeef11350a355008c0bd4d620028eaa653c65e98eabdab7e,scripts/parse_documents.py
parsed/papers/bgpshield_2025.json,parsed,.json,93561,98,False,db7edb01523b10f6b7fc1f50b750290cc7421eee010fa45bca975ed56cd0efdb,scripts/parse_documents.py
parsed/papers/bursty_announcements_2019.json,parsed,.json,93035,88,False,149deac9acedeac81c9bea71fbc4c55d1009719c0a390469bf543e648d71f91d,scripts/parse_documents.py
parsed/papers/cair_2016.json,parsed,.json,73585,78,False,bc5f4d99437ecccd4f80b53d4d87335f1150df1cec56ab62973f9c18eb72eb2d,scripts/parse_documents.py
parsed/papers/global_bgp_attacks_2024.json,parsed,.json,51410,58,False,ba0401ca6f4722c3fe6d9170b3e08e765716bacd3a7330bcfb1aab26dad9c5ef,scripts/parse_documents.py
