source_id,path,url,status,http_status,bytes,content_type,error
mainone_google_cloudflare_route_leak_2018,raw/cases/mainone_google_cloudflare_route_leak_2018.html,https://blog.cloudflare.com/how-a-nigerian-isp-knocked-google-offline/,downloaded,200,299297,text/html,
aws_route53_crypto_hijack_2018,raw/cases/aws_route53_crypto_hijack_2018.html,https://blog.cloudflare.com/bgp-leaks-and-crypto-currencies/,downloaded,200,323876,text/html,
fastly_rpki_hijack_2024,raw/cases/fastly_rpki_hijack_2024.html,https://labs.ripe.net/author/job_snijders/war-story-rpki-is-working-as-intended/,downloaded,200,76612,text/html; charset=utf-8,
cloudflare_outage_2026,raw/cases/cloudflare_outage_2026.html,https://blog.cloudflare.com/cloudflare-outage-february-20-2026/,downloaded,200,420015,text/html,
manrs_bgp_2020_review,raw/cases/manrs_bgp_2020_review.html,https://manrs.org/2021/02/bgp-rpki-and-manrs-2020-in-review/,downloaded,200,128141,text/html; charset=UTF-8,
manrs_regional_bgp_incidents_2020,raw/cases/manrs_regional_bgp_incidents_2020.html,https://manrs.org/2021/03/a-regional-look-into-bgp-incidents-in-2020/,downloaded,200,114610,text/html; charset=UTF-8,
china_telecom_europe_route_leak_2019,raw/cases/china_telecom_europe_route_leak_2019.html,https://arstechnica.com/information-technology/2019/06/bgp-mishap-sends-european-mobile-traffic-through-china-telecom-for-2-hours/,downloaded,200,161584,text/html; charset=UTF-8,
cert_eu_china_telecom_route_leak_2019,raw/cases/cert_eu_china_telecom_route_leak_2019.pdf,https://www.cert.europa.eu/publications/threat-intelligence/threat-memo-190611-1/pdf,downloaded,200,77056,application/pdf,
rfc2622,raw/standards/rfc2622.txt,https://www.rfc-editor.org/rfc/rfc2622.txt,downloaded,200,140811,text/plain,
rfc3912,raw/standards/rfc3912.txt,https://www.rfc-editor.org/rfc/rfc3912.txt,downloaded,200,7770,text/plain,
rfc9082,raw/standards/rfc9082.txt,https://www.rfc-editor.org/rfc/rfc9082.txt,downloaded,200,44735,text/plain,
rfc9083,raw/standards/rfc9083.txt,https://www.rfc-editor.org/rfc/rfc9083.txt,downloaded,200,120665,text/plain,
